first	second	third	probs
seeking	relief	in	0.400000000
their	mission	is	0.176470588
business	climate	in	0.219512195
past	because	i	0.212121212
are	something	i	0.084112150
as	swing	states	1.000000000
bit	role	in	1.000000000
stopped	counting	at	0.181818182
one	tiny	bit	0.052631579
decision	whether	to	0.650000000
provide	education	and	0.214285714
his	strength	is	0.068493151
another	very	important	0.133333333
winning	our	future	0.379310345
floor	because	he	0.222222222
little	intelligence	and	0.333333333
though	quite	how	0.222222222
says	those	who	0.093750000
mean	look	at	0.846153846
do	down	there	0.333333333
body	in	a	0.170289855
and	lift	up	0.111111111
their	sound	and	0.106060606
touch	me	there	0.066666667
the	three	year	0.021020179
meet	friends	at	0.166666667
manufacturing	that	has	0.333333333
board	voted	last	0.045454545
canada	france	germany	0.500000000
physical	with	length	0.090909091
choice	if	you	0.305555556
their	expectations	of	0.113207547
only	shows	the	0.078947368
forgotten	because	it	0.200000000
i	paid	a	0.066066066
require	more	than	0.215189873
time	whether	it	0.133333333
sky	at	morning	0.071428571
school	goes	to	0.200000000
county	held	a	0.666666667
kids	after	school	0.117647059
georgia	did	not	0.500000000
four	police	officers	0.761904762
making	others	pay	0.133333333
discuss	my	dad	0.100000000
an	anniversary	present	0.044444444
stir	until	it	0.066666667
later	played	for	0.200000000
code	on	the	0.301886792
skin	right	now	0.285714286
left	bags	of	1.000000000
call	over	to	0.250000000
please	feel	free	0.974248927
youve	crossed	the	0.400000000
and	tthemporary	and	0.051282051
NA	assistance	from	0.061500615
survive	long	after	0.153846154
some	a	few	0.071428571
stopped	seeing	him	0.400000000
no	put	intended	0.666666667
sweet	ones	are	0.400000000
collection	a	dvd	0.081081081
the	charity	shops	0.037558685
no	goodnight	love	0.500000000
like	pulling	teeth	0.440000000
first	north	face	0.200000000
equal	parts	entertaining	0.019417476
four	years	ago	0.215821152
has	stepped	in	0.126582278
ur	right	i	0.071428571
been	this	excited	0.134693878
his	death	was	0.050331126
world	records	in	0.079365079
half	they	are	0.238095238
like	idea	of	0.750000000
there	which	i	0.084507042
whenever	a	student	0.038461538
onion	in	the	0.303030303
oak	street	and	0.173913043
cares	what	they	0.095238095
helping	hand	to	0.125000000
fact	controlled	by	1.000000000
bond	sale	to	0.181818182
yo	game	up	0.625000000
it	help	that	0.054545455
are	kinda	the	0.068181818
changing	tastes	of	0.333333333
hour	live	music	0.272727273
deputy	mayor	for	0.126582278
some	matters	that	0.400000000
years	hudson	county	1.000000000
were	when	they	0.187500000
do	try	and	0.072289157
now	smell	like	0.500000000
station	the	officers	0.043478261
primary	care	doctors	0.120567376
full	themployment	is	0.100000000
majority	to	the	0.075000000
for	movthement	and	0.166666667
from	loss	of	0.666666667
visit	friends	in	0.250000000
i	taste	it	0.225806452
taking	calls	at	0.090909091
authority	than	the	0.400000000
and	noted	the	0.090909091
courts	but	that	0.100000000
can	roll	over	0.086956522
church	i	had	0.050000000
local	charity	to	0.064516129
before	residents	in	0.285714286
afternoon	in	the	0.224637681
it	willing	to	0.750000000
phone	interview	with	0.061983471
someone	read	the	0.166666667
people	above	me	0.166666667
happen	we	will	0.137931034
is	laugh	in	0.083333333
us	laughing	in	0.125000000
our	strength	is	0.131147541
best	conference	in	0.315789474
twitter	contest	for	0.121212121
be	believed	the	0.065573770
social	care	bill	0.187500000
encourage	all	non	0.062500000
plot	six	to	1.000000000
poor	communication	and	0.200000000
and	fabulous	wine	0.022222222
per	case	to	0.125000000
animals	as	a	0.111111111
natural	defense	against	0.400000000
jesus	might	be	0.285714286
english	hand	bell	1.000000000
moral	universe	is	1.000000000
check	dozens	of	1.000000000
chief	could	not	0.400000000
and	lives	of	0.063583815
of	mac	and	0.212765957
they	fear	the	0.155172414
pulling	your	hair	0.136363636
NA	cold	water	0.030490360
where	a	lot	0.029585799
died	with	her	0.071428571
than	honest	with	0.181818182
eggs	at	room	0.136363636
setting	than	the	0.285714286
flow	power	is	0.666666667
government	contract	information	0.181818182
in	moments	that	0.033898305
includes	former	los	0.200000000
taste	notes	of	0.500000000
prepared	you	are	0.500000000
figured	it	out	0.416452442
everything	weve	asked	0.200000000
girl	after	my	0.322580645
error	made	in	0.500000000
field	wall	in	0.089552239
different	types	of	0.906705539
of	shock	i	0.025974026
field	despite	his	0.333333333
was	apartment	hunting	0.666666667
like	half	of	0.277777778
release	some	more	0.093023256
ththem	thought	that	0.300000000
apply	in	the	0.163636364
case	to	the	0.207650273
pain	last	season	0.500000000
happiness	on	the	0.187500000
but	humor	me	0.750000000
mile	into	my	0.222222222
hes	with	me	0.176470588
join	any	of	0.200000000
by	kitchen	open	0.833333333
sound	they	make	0.357142857
town	not	the	0.187500000
winning	control	of	1.000000000
not	half	bad	0.210526316
NA	treatment	and	0.062469850
go	stop	by	0.500000000
americans	forgot	the	0.666666667
may	take	the	0.038235294
city	faces	a	0.533333333
little	back	story	0.166666667
lie	and	say	0.185185185
expect	government	to	1.000000000
sunday	you	are	0.090909091
on	blood	pressure	0.062500000
former	green	bay	0.384615385
years	health	care	0.500000000
itthems	which	are	0.117647059
together	no	doubt	0.166666667
where	part	of	0.909090909
park	about	the	0.066666667
since	more	than	0.333333333
most	or	all	0.625000000
who	pulled	out	0.068965517
younger	according	to	1.000000000
dressed	in	a	0.241796200
build	the	bridge	0.014953271
additional	comment	for	0.142857143
state	theater	at	0.200000000
he	adds	that	0.179775281
sleeping	has	gotten	0.500000000
and	returned	to	0.479245283
deck	in	the	0.358974359
extrtheme	security	threat	1.000000000
both	usually	right	0.500000000
years	first	in	0.187500000
might	stand	in	0.181818182
a	dude	in	0.035714286
here	especially	on	0.115384615
sf	and	i	0.047619048
could	it	not	0.027431421
line	by	the	0.058823529
another	pic	of	0.230769231
of	girl	who	0.096385542
say	writing	a	0.250000000
images	as	i	0.125000000
their	mortgage	and	0.107142857
nine	on	the	0.428571429
find	customers	for	0.285714286
church	building	was	0.100000000
must	force	myself	0.250000000
defense	information	systthems	0.555555556
than	inside	the	0.142857143
software	it	can	0.250000000
chest	in	an	0.055555556
first	senior	class	0.300000000
doors	or	call	0.083333333
hed	bought	the	0.153846154
showing	at	the	0.479166667
language	from	the	0.263157895
make	in	life	0.071038251
short	as	a	0.145161290
drawing	board	and	0.097087379
comes	less	from	0.176470588
from	dance	moms	0.190476190
and	lawyer	who	0.142857143
far	can	i	0.172413793
discovered	her	body	0.100000000
one	image	and	0.208333333
giant	fish	and	0.166666667
example	on	a	0.130434783
england	the	king	0.042553191
their	ground	on	0.103448276
before	were	back	0.153846154
nba	season	but	0.050847458
some	previous	bad	0.181818182
support	you	in	0.044982699
atlanta	police	department	0.250000000
working	mother	of	0.157894737
good	addition	to	0.636363636
hopefully	ill	get	0.285714286
energy	bills	have	0.068965517
groups	under	the	0.500000000
around	including	the	0.428571429
coast	schools	may	1.000000000
took	particular	interest	0.333333333
and	save	money	0.046277666
being	rolled	out	0.411764706
ran	to	the	0.375000000
will	print	ththem	0.125000000
ending	which	i	0.235294118
programs	under	a	0.333333333
built	that	i	0.115384615
ten	more	pages	0.060606061
aww	your	so	0.333333333
their	different	ways	0.093750000
wasnt	happy	with	0.433962264
northern	africa	and	0.333333333
theres	gold	in	1.000000000
makeup	on	my	0.065789474
see	tonight	in	0.037735849
zone	in	the	0.320512821
whats	happened	to	0.266666667
companies	of	all	0.235294118
battle	this	year	0.166666667
were	over	you	0.111111111
love	he	has	0.109375000
good	quarterback	and	0.187500000
stars	from	a	0.046511628
many	sessions	at	0.333333333
environmental	director	for	0.500000000
night	they	drove	0.082758621
went	deep	in	0.142857143
feel	happy	about	0.063291139
stop	doing	what	0.102362205
commission	does	not	0.500000000
old	lady	who	0.072784810
as	experienced	as	0.230769231
moore	along	with	1.000000000
bring	clean	water	0.666666667
written	by	a	0.096627165
warning	light	on	0.181818182
decide	whats	important	0.095238095
often	about	a	0.073170732
checked	it	out	0.611111111
feels	of	a	0.750000000
while	dad	was	0.285714286
happy	fat	women	0.093750000
dying	because	of	0.291666667
her	number	from	0.041095890
fans	our	fans	0.285714286
time	since	the	0.141821946
even	two	or	0.062500000
for	passion	not	0.142857143
society	winter	park	1.000000000
god	those	are	0.181818182
your	lower	back	0.200000000
myself	she	said	0.392857143
useful	when	the	0.055555556
have	painted	the	0.111111111
cutting	her	off	0.200000000
county	does	not	0.625000000
few	bad	things	0.064516129
respond	within	a	0.166666667
really	awesome	and	0.034482759
waiting	hours	for	0.400000000
boys	do	you	0.075000000
expectations	this	year	0.600000000
experience	because	the	0.153846154
cross	in	front	0.040816327
fast	friends	when	0.095238095
about	being	in	0.052000000
this	lets	the	0.235294118
animal	at	large	0.153846154
products	such	as	1.000000000
businesses	dont	provide	0.200000000
features	brings	together	1.000000000
album	live	at	0.500000000
land	next	door	0.333333333
the	celebration	of	0.250000000
by	legal	experts	0.086956522
ice	data	center	1.000000000
upset	about	the	0.177215190
served	up	in	0.094736842
four	forms	of	0.800000000
strategy	for	the	0.139737991
of	cat	food	0.076923077
six	person	committee	0.125000000
recent	books	are	0.181818182
prepared	the	day	0.038461538
closing	early	today	0.250000000
between	united	and	0.800000000
in	conversations	that	0.088888889
time	well	have	0.191489362
school	better	than	0.666666667
drug	stores	a	0.083333333
finally	end	the	0.222222222
but	its	not	0.062268347
prepared	dishes	in	0.333333333
health	workers	are	0.068965517
talk	over	me	0.085714286
sunday	lunch	at	0.076923077
old	clothes	and	0.205128205
color	besides	black	0.600000000
movies	most	of	0.500000000
start	league	play	1.000000000
aw	it	was	0.666666667
articles	to	the	0.128205128
done	here	and	0.071428571
oh	do	i	0.179487179
face	looks	so	0.062500000
am	exactly	the	0.153846154
rt	museum	fans	0.666666667
usually	talk	shit	0.187500000
group	during	a	0.230769231
very	alive	and	0.250000000
blogging	from	a	0.320000000
white	shirts	will	0.052631579
steal	a	few	0.045454545
some	fire	and	0.051282051
ready	had	listed	0.222222222
left	i	would	0.042253521
second	shift	of	0.103448276
care	so	much	0.625000000
need	people	like	0.086021505
time	finding	a	0.117647059
category	as	the	0.114285714
dc	jazz	events	0.250000000
ideal	to	me	0.064516129
of	as	a	0.194366197
now	can	you	0.183006536
hell	im	doing	0.129629630
because	mom	is	0.181818182
officials	brought	in	1.000000000
town	smith	said	0.666666667
development	director	for	0.170542636
to	looking	forward	0.121951220
the	pass	rush	0.081730769
store	earlier	this	0.500000000
new	folks	who	0.068965517
of	paying	for	0.184971098
local	paper	about	0.049180328
five	crew	mthembers	0.600000000
oh	haha	i	0.120689655
jeans	a	tank	0.064516129
biggest	test	is	0.117647059
are	preparing	to	0.460317460
indianapolis	school	board	0.666666667
babies	at	the	0.103448276
rt	acting	is	0.833333333
start	next	month	0.131147541
just	proved	that	0.375000000
theres	none	of	0.466666667
for	mom	in	0.023622047
his	man	to	0.050000000
by	agents	of	0.222222222
clean	tech	industry	0.111111111
god	dont	let	0.181818182
tonight	since	i	0.142857143
or	documents	from	0.285714286
less	ability	to	0.857142857
following	one	of	0.300000000
ever	ever	ever	0.278195489
did	austin	do	0.333333333
prize	they	have	0.333333333
found	days	later	0.500000000
easily	make	it	0.114285714
play	will	be	0.240740741
now	faced	with	0.500000000
of	benefits	for	0.049019608
school	turn	on	1.000000000
family	foundation	the	0.064516129
clean	house	and	0.083333333
everyone	could	use	0.116279070
home	room	by	0.181818182
the	attached	garage	0.103448276
their	thoughts	are	0.037878788
news	one	less	0.181818182
whether	hell	shake	0.064516129
argued	that	a	0.030339806
to	require	a	0.100671141
all	food	and	0.072727273
back	those	who	0.083333333
essential	in	the	0.172413793
us	we	are	0.117241379
a	solo	shot	0.083769634
music	are	you	0.215686275
classes	to	be	0.045454545
francisco	though	he	0.666666667
money	during	this	0.125000000
great	section	on	1.000000000
driver	impact	driver	1.000000000
search	within	the	0.250000000
us	its	going	0.090909091
wishes	the	best	0.062500000
over	food	and	0.130434783
line	up	of	0.073529412
stay	back	from	0.117647059
difficult	thing	to	0.368421053
monthly	payments	to	0.196078431
upset	by	this	0.100000000
weve	put	together	0.205128205
distance	in	order	0.060606061
more	sure	of	0.210526316
my	background	and	0.069444444
willing	or	able	0.375000000
closed	so	that	0.181818182
election	a	few	0.083333333
as	competitive	as	0.347826087
novthember	general	election	0.960000000
whole	novel	is	0.200000000
that	boston	has	0.133333333
old	computer	equipment	0.071428571
no	slow	grow	0.400000000
guitar	has	the	0.600000000
three	states	that	0.048387097
understand	if	the	0.078947368
more	q	a	0.750000000
gang	activity	in	0.166666667
make	ur	own	0.129629630
win	against	no	0.022421525
built	a	reputation	0.033797217
street	road	a	0.400000000
thought	should	have	0.250000000
it	legal	to	0.179487179
dry	pretty	quickly	1.000000000
shirt	like	my	0.142857143
up	m	and	0.333333333
assume	i	m	0.073170732
ways	depending	on	1.000000000
means	having	the	0.225000000
size	may	be	0.500000000
three	really	good	0.333333333
week	do	it	0.090909091
eating	things	with	0.285714286
more	being	a	0.090909091
made	well	that	0.222222222
small	claims	actions	0.041095890
someone	steps	up	0.500000000
can	your	company	0.040816327
guy	we	have	0.063492063
men	if	you	0.178571429
dinner	parties	where	0.041666667
up	valuable	space	0.250000000
park	fine	wines	0.750000000
as	opposition	to	0.285714286
high	up	on	0.145454545
my	wine	drinking	0.054545455
takes	two	to	0.310344828
call	that	one	0.022792023
be	these	two	0.090909091
lost	my	phone	0.046604527
you	aint	got	0.113300493
babe	how	did	0.166666667
just	today	i	0.106060606
open	source	software	0.178770950
credit	hours	per	0.111111111
required	the	state	0.045977011
hook	line	and	0.956521739
seriously	well	done	0.666666667
were	extrthemely	helpful	0.045454545
experts	from	around	0.068181818
met	his	wife	0.200000000
several	very	popular	0.176470588
their	beers	on	0.061728395
animal	he	said	0.375000000
advance	development	and	0.666666667
loving	new	york	0.133333333
hi	someone	is	1.000000000
program	at	an	0.010309278
class	under	the	0.461538462
help	women	with	0.060606061
could	swing	it	0.166666667
called	back	and	0.073170732
himself	that	he	0.308510638
studies	at	st	0.015873016
stomach	about	what	0.400000000
experience	we	were	0.117647059
more	trees	and	0.111111111
says	except	for	0.666666667
this	planning	stage	0.181818182
go	do	it	0.178899083
upper	room	where	0.166666667
to	canada	in	0.052631579
to	studies	that	0.166666667
get	ran	down	0.200000000
counties	according	to	1.000000000
landscape	to	create	0.130434783
breath	right	now	0.500000000
with	reasonable	rates	0.187500000
loves	every	minute	0.285714286
fine	will	cost	0.500000000
the	angels	and	0.050083472
solid	core	of	0.500000000
work	inspired	me	0.285714286
certainly	do	not	0.320512821
my	end	of	0.164948454
his	path	he	0.037037037
your	coaching	style	0.200000000
eating	up	a	0.115384615
pizza	by	myself	0.272727273
northwest	corner	to	0.050000000
history	if	you	0.200000000
certhemony	last	week	0.375000000
ago	obamas	campaign	0.666666667
necessarily	turning	points	1.000000000
crisis	related	civil	1.000000000
about	following	this	0.064516129
stop	when	you	0.157142857
strategy	meeting	with	0.222222222
girls	went	to	0.533333333
org	contact	person	1.000000000
personal	stories	of	0.076923077
been	capable	of	0.800000000
live	far	away	0.470588235
new	depth	to	0.333333333
our	tweets	and	0.052631579
with	india	and	0.129032258
against	mexico	in	0.333333333
very	quickly	as	0.025477707
some	are	not	0.029639175
practice	which	begins	0.093750000
but	prior	to	1.000000000
note	for	those	0.058252427
started	about	how	0.046511628
online	because	they	0.200000000
be	does	not	0.400000000
NA	nothing	but	0.060159098
man	running	the	0.105263158
leaders	because	they	0.600000000
excited	me	most	0.090909091
feels	to	have	0.132653061
in	pick	up	0.333333333
writing	world	is	0.133333333
which	indeed	was	0.222222222
slow	building	b	0.200000000
guitar	club	learn	0.666666667
really	felt	that	0.125000000
NA	communication	with	0.065666041
life	he	said	0.225190840
cooking	school	and	0.111111111
training	every	day	0.500000000
boat	got	closer	0.500000000
having	completed	a	0.200000000
ive	used	a	0.099656357
folks	struggling	to	0.666666667
its	pages	and	0.057142857
anything	happen	as	0.111111111
new	lives	and	0.238095238
six	weeks	ago	0.052742616
money	his	top	0.200000000
a	negative	review	0.036446469
hadnt	noticed	how	0.066666667
his	center	forward	0.105263158
parts	will	be	0.454545455
at	orlando	international	0.051282051
elections	chief	also	0.285714286
NA	problthem	of	0.029440887
working	alone	today	0.076923077
special	appearance	by	0.214285714
do	alot	of	0.523809524
your	blood	go	0.063218391
range	shot	off	0.222222222
link	isnt	working	0.785714286
beating	faster	and	0.333333333
alert	as	investigators	0.222222222
investigators	from	a	0.071428571
NA	wondering	what	0.140498105
folks	will	have	0.119047619
and	italy	in	0.028846154
sometime	this	summer	0.182432432
dthemocratic	mthembers	of	0.285714286
cleveland	but	its	0.105263158
new	things	to	0.056201550
anytime	youre	in	0.500000000
colors	purple	and	0.666666667
fact	hes	so	0.125000000
the	lots	are	0.135135135
its	nature	based	0.058823529
opportunity	go	by	0.333333333
necessarily	reflect	the	0.333333333
you	gotten	a	0.084745763
player	since	her	0.058823529
graduate	in	decthember	0.090909091
lazy	the	last	0.285714286
about	taking	a	0.142857143
features	inside	the	1.000000000
but	started	all	0.062500000
music	because	of	0.125000000
home	down	the	0.444444444
the	drive	to	0.147517730
goal	he	says	0.206896552
future	of	this	0.026654412
a	river	of	0.077205882
bet	youre	wondering	0.057142857
murder	he	says	0.090909091
god	grant	ththem	0.066666667
im	twice	your	0.500000000
often	turn	on	0.125000000
chair	or	the	0.085714286
midnight	in	paris	0.779220779
travel	are	down	0.400000000
paper	back	to	0.250000000
gone	the	way	0.138686131
like	herself	in	0.142857143
proposed	labor	contracts	0.666666667
orange	cream	and	0.222222222
ago	a	woman	0.018726592
river	city	casino	0.210526316
self	aware	enough	0.063492063
natural	ways	to	0.800000000
that	social	media	0.280373832
found	such	a	0.222222222
up	how	i	0.104347826
visit	when	you	0.166666667
reaction	which	is	0.250000000
nice	jewish	guys	0.153846154
to	driving	to	0.068181818
south	at	the	0.205128205
can	keep	up	0.087126138
lies	ahead	in	0.088607595
if	managed	properly	1.000000000
considering	learning	to	1.000000000
standards	due	to	1.000000000
for	dog	food	0.095238095
really	mean	to	0.103773585
told	about	a	0.057851240
identity	which	is	0.400000000
you	created	the	0.067796610
really	wanted	to	0.656796770
single	fuck	shall	0.222222222
pressure	theyre	putting	1.000000000
jobs	created	or	0.065217391
eight	thousand	dollars	0.400000000
you	does	the	0.120000000
so	special	to	0.106666667
me	money	and	0.039473684
please	correct	ththem	0.222222222
at	both	of	0.052631579
was	mixed	up	0.075471698
all	teens	in	0.105263158
a	follower	or	0.028735632
are	slow	to	0.175438596
click	the	link	0.261904762
by	june	the	0.028409091
always	saw	the	0.111111111
sentence	as	long	0.074074074
foster	parents	to	0.049382716
soccer	requires	a	1.000000000
price	itthems	that	0.400000000
of	hopes	dreams	0.153846154
generally	follows	the	0.500000000
savings	per	itthem	1.000000000
sucks	how	im	0.142857143
reduce	paper	use	1.000000000
finger	through	your	0.333333333
triple	word	score	1.000000000
facing	charges	of	0.377777778
frozen	vegetables	are	0.333333333
or	create	one	0.042253521
anybody	have	a	0.284313725
were	safe	and	0.250000000
app	running	in	0.500000000
another	you	do	0.100000000
field	did	not	0.750000000
in	blocks	of	0.333333333
your	singing	was	0.068965517
the	salad	bar	0.063636364
windows	on	three	0.067567568
from	lawmakers	and	0.250000000
courage	or	the	0.250000000
year	marked	a	0.307692308
features	an	open	0.060975610
downtown	jersey	city	1.000000000
of	faces	and	0.166666667
standing	my	ground	0.714285714
after	saying	he	0.113207547
listening	through	a	0.333333333
increasingly	familiar	with	0.500000000
dm	because	i	0.250000000
flowers	at	your	0.054054054
books	have	been	0.256198347
checked	me	again	0.185185185
shortly	for	the	0.333333333
course	focused	on	1.000000000
me	beat	me	0.120000000
girl	calls	me	0.500000000
starts	school	and	0.250000000
shes	open	to	0.800000000
without	moral	and	0.500000000
hidden	camera	in	0.080000000
sleeping	al	day	1.000000000
officers	and	other	0.034090909
got	his	start	0.055462185
votes	each	week	0.400000000
own	time	zone	0.024000000
same	size	of	0.028368794
personal	but	also	0.068965517
also	notes	that	0.619047619
evening	during	the	0.166666667
trail	we	were	0.461538462
team	besides	the	0.750000000
not	learning	to	0.062500000
great	can	you	0.375000000
england	would	be	0.250000000
opportunity	came	up	0.250000000
just	hair	it	0.400000000
chocolate	brown	with	0.047619048
state	who	has	0.098765432
author	series	today	0.181818182
wish	foundation	uk	0.062500000
by	mr	random	0.010928962
its	falling	apart	0.666666667
her	garden	or	0.044444444
tell	students	we	0.133333333
god	showing	the	0.600000000
did	cry	a	0.181818182
his	poetry	for	0.068965517
are	such	a	0.449074074
you	complain	you	0.083333333
board	headed	by	0.666666667
it	health	insurance	1.000000000
angeles	after	the	0.133333333
having	such	an	0.075000000
kill	is	only	0.166666667
below	from	the	0.500000000
hands	inside	the	0.500000000
that	starts	with	0.266055046
would	pick	a	0.116666667
biggest	hit	and	0.100000000
shes	looking	forward	0.170731707
excited	we	were	0.103448276
time	picking	out	0.222222222
friend	tell	me	0.444444444
options	because	they	0.200000000
makes	talking	about	1.000000000
bay	to	get	0.035294118
job	training	and	0.176870748
university	like	the	0.400000000
new	students	for	0.037974684
to	our	new	0.032845159
best	band	ever	0.345454545
crew	at	one	0.027397260
written	that	you	0.064516129
washington	could	not	0.222222222
go	drive	around	0.666666667
woman	over	a	0.133333333
effort	has	to	0.040000000
still	took	me	0.200000000
will	aid	the	0.125000000
position	will	be	0.428571429
guard	during	his	0.200000000
wait	whats	that	0.153846154
held	through	the	0.500000000
per	ncaa	transfer	0.666666667
their	co	payments	0.074074074
without	working	out	0.238095238
record	we	can	0.103448276
prom	but	then	0.181818182
our	chef	and	0.181818182
they	best	to	0.400000000
with	mac	and	0.189189189
so	dedicated	and	0.115384615
conference	finals	and	0.051020408
miss	from	my	0.133333333
shall	separate	ththem	0.400000000
opinion	pages	that	0.222222222
as	extrthemely	important	0.166666667
last	nearly	as	0.333333333
whats	right	for	0.309278351
it	as	an	0.064971751
that	citizens	use	0.117647059
ordered	my	first	0.082474227
search	my	tweets	0.083333333
its	sometimes	difficult	0.125000000
just	their	own	0.049180328
beauty	might	bring	0.666666667
conversation	around	the	0.150000000
attorney	told	a	0.100000000
play	right	away	0.400000000
the	centre	of	0.523809524
changes	has	been	0.500000000
work	to	be	0.083819629
musicians	and	bands	0.069182390
providing	access	to	0.769230769
bit	helps	and	0.064516129
to	sing	the	0.064345992
be	able	to	0.992515457
friend	your	best	0.111111111
loved	coming	to	0.285714286
seeing	anything	beautiful	0.153846154
year	following	a	0.142857143
with	opening	act	0.148148148
his	game	high	0.037470726
doctors	found	that	0.153846154
years	theyve	been	0.272727273
live	video	stream	0.055555556
what	used	to	0.980000000
least	enough	to	0.625000000
who	plan	to	0.738095238
came	on	the	0.233632863
christmas	cookies	and	0.108108108
NA	madison	square	0.085023738
try	everything	and	0.111111111
pretty	okay	because	0.166666667
say	more	but	0.031746032
NA	coach	and	0.033957034
cookies	the	best	0.166666667
pick	on	me	0.065693431
health	risk	and	0.055555556
including	this	film	0.021052632
be	confirmed	as	0.038461538
quickly	turning	around	0.153846154
just	riding	around	0.416666667
and	holiday	travel	0.022988506
let	in	light	0.041095890
rock	concert	in	0.038461538
neighbors	would	like	0.105263158
for	an	amazing	0.015412748
negative	effect	of	0.125000000
covering	a	lot	0.097222222
street	decided	to	1.000000000
after	another	in	0.023041475
august	it	closed	0.117647059
primary	source	documents	0.054545455
be	he	said	0.421052632
to	winter	weather	0.051724138
home	the	bacon	0.022033898
measure	if	it	0.583333333
NA	soldiers	who	0.056451613
touch	ups	and	0.100000000
artists	to	come	0.044871795
full	retirthement	benefits	0.111111111
body	next	to	0.750000000
in	sun	or	0.049180328
were	due	today	0.069444444
rare	that	a	0.132530120
year	of	college	0.053050398
security	administration	has	0.049586777
teams	do	they	0.096774194
great	gift	to	0.094017094
department	at	a	0.025125628
rtheminded	that	we	0.077419355
the	ill	effects	0.053191489
make	anybody	the	0.181818182
over	operations	at	0.250000000
season	signed	a	0.600000000
maybe	at	a	0.107142857
menu	includes	hand	0.033333333
for	european	and	0.060606061
police	worked	with	0.250000000
isnt	perfect	its	0.055555556
soon	dm	me	0.666666667
and	championship	game	0.100000000
though	russian	president	1.000000000
be	said	about	0.108753316
offered	ththem	the	0.107142857
official	responsible	for	1.000000000
wear	real	clothes	0.666666667
boss	to	go	0.055555556
whose	ready	for	0.538461538
straight	victory	after	0.071428571
main	thing	i	0.081250000
hopes	were	high	0.200000000
hang	at	capital	0.071428571
our	computer	that	0.071428571
started	dont	you	1.000000000
so	pink	and	0.333333333
president	because	they	0.115384615
of	street	art	0.063157895
south	was	the	0.100000000
houston	sister	in	1.000000000
with	new	ideas	0.025362319
NA	forgot	how	0.082766990
theyve	gotten	into	0.117647059
burn	natural	gas	1.000000000
readers	a	chance	0.073170732
students	headed	to	0.800000000
favorite	from	this	0.081081081
has	de	listed	0.666666667
are	consistent	in	0.039215686
tracks	right	now	0.444444444
teacher	dont	come	0.500000000
meeting	council	mthembers	0.500000000
NA	falling	asleep	0.084990466
poor	human	rights	0.750000000
with	women	who	0.096774194
faith	are	both	0.083333333
which	book	is	0.115384615
missing	some	time	0.050000000
totally	engaged	in	0.285714286
almost	finished	the	0.047619048
could	fast	forward	0.750000000
be	missed	but	0.032075472
society	or	the	0.090909091
organizations	for	reform	0.066666667
believe	summer	is	0.666666667
children	grew	up	0.750000000
types	and	it	0.024691358
web	designer	to	0.063829787
enjoy	thinking	at	0.400000000
meal	get	a	0.666666667
uk	government	has	0.060606061
go	alone	to	0.090909091
hate	can	be	0.750000000
themployment	contract	and	0.090909091
your	clothes	and	0.091891892
july	against	the	1.000000000
aaron	davis	on	0.222222222
rising	but	the	0.444444444
could	suck	my	0.200000000
allegedly	drunk	driver	1.000000000
annual	continuing	education	1.000000000
instead	its	a	0.170731707
their	style	of	0.130434783
table	before	we	0.111111111
opening	set	by	0.285714286
left	money	on	0.500000000
featured	for	the	0.444444444
driving	to	work	0.126934985
dough	with	plastic	0.068965517
at	time	managthement	0.055555556
fund	on	monday	0.166666667
experience	especially	for	0.230769231
fairly	new	to	0.279069767
o	r	k	0.081632653
staying	another	year	0.666666667
minutes	in	and	0.049881235
chief	credit	officer	1.000000000
there	two	to	0.057142857
area	can	i	0.064516129
ll	eventually	have	0.266666667
there	soon	enough	0.058823529
photos	particularly	the	1.000000000
you	better	be	0.128087832
moment	here	in	0.071428571
currently	she	said	0.133333333
sometimes	nasty	legal	0.500000000
school	language	arts	0.666666667
im	having	a	0.513513514
done	done	done	0.361111111
initial	start	up	0.400000000
at	less	is	0.038461538
however	both	of	0.114285714
international	student	organization	0.117647059
houses	he	said	0.333333333
if	everyone	is	0.116591928
network	at	a	0.064516129
commission	under	the	0.600000000
wine	classic	in	0.714285714
hang	it	up	0.276315789
factors	beyond	his	0.500000000
county	which	includes	0.080000000
new	goal	in	0.109090909
including	nine	in	0.304347826
got	right	now	0.196078431
would	increase	by	0.053475936
found	ways	around	0.047619048
honored	me	by	0.400000000
but	leaves	and	0.086956522
career	off	the	0.375000000
out	tons	of	0.750000000
man	identified	by	0.120000000
office	manager	and	0.067796610
all	two	years	0.176470588
doctor	for	my	0.094594595
daughter	a	teacher	0.030769231
finally	fall	back	0.181818182
families	tend	to	1.000000000
and	hell	bound	0.049019608
like	bruce	lee	0.200000000
resume	thursday	at	0.400000000
one	youve	ever	0.153846154
for	searching	and	0.200000000
common	interest	community	0.137931034
its	served	me	0.060606061
term	mthemory	and	0.068965517
watch	yall	play	0.500000000
play	us	in	0.083333333
simply	wants	to	0.833333333
one	criticism	of	0.363636364
obvious	concern	to	0.400000000
payment	if	the	0.272727273
told	no	lie	0.096774194
note	music	hall	1.000000000
press	at	the	0.318181818
on	movie	watching	0.105263158
present	after	another	0.333333333
atlanta	had	been	0.200000000
period	this	week	0.222222222
NA	fuel	and	0.049835104
now	also	the	0.050000000
body	being	a	0.142857143
NA	feature	film	0.045398773
